"Food","TimeSquareBar","02/14/2008","10.82","USD"
"Food","Hudson","02/14/2008","1.89","USD"
"Travel","Taxi NYC","02/20/2008","8.20","USD"
"Travel","Best Western","02/14/2008","898.19","USD"
"Travel","Taxi NYC","02/14/2008","4.90","USD"
"Food","KosherDeluxe","02/20/2008","15.55","USD"
"Food","Flavors Café","02/11/2008","10.17","USD"
"Food","Harbour Café","02/13/2008","6.44","USD"
"Food","AuBonPain","02/13/2008","13.77","USD"
"Food","AuBonPain","02/12/2008","11.36","USD"
"Food","Harbour Café","02/12/2008","13.74","USD"
"Travel","Taxi NYC","02/13/2008","14.20","USD"
"Travel","Taxi NYC","02/13/2008","13.50","USD"
"Food","AuBonPain","02/13/2008","6.30","USD"
"Travel","Taxi NYC","02/13/2008","30.20","USD"
"Car","South Shore Motors","05/29/2008","245.06","USD"
"Travel","Shilo Inn","06/01/2008","14.49","USD"
"Travel","Hotel Carter","07/23/2008","125.00","USD"
"Other"," Attorney ","04/08/2008","150.00","USD"
"Other"," CarpetCare","04/09/2008","200.00","USD"
"Travel","Hertz","04/12/2008","19.10","USD"
"Travel","Taxi NYC","07/23/2008","5.40","USD"
"Travel","Taxi NYC","07/24/2008","9.30","USD"
"Travel","Hotel Carter","07/21/2008","250.00","USD"
"Travel","Taxi NYC","07/21/2008","7.90","USD"
"Travel","Taxi NYC","07/22/2008","6.20","USD"
"Car","BigTires","02/22/2008","86.39","USD"
"Car","BigTires","02/22/2008","168.09","USD"
"Travel","Travelodge","03/09/2008","111.90","USD"
"Travel","Taxi NYC","02/21/2008","18.00","USD"
"Travel","Super8Hotel","02/21/2008","414.36","USD"
"Car","TireRack","02/22/2008","287.14","USD"
"Car","BigTires","04/08/2008","106.82","USD"
"Car","TireRack","04/08/2008","720.43","USD"
"Office","Post Office","02/28/2008","60.20","USD"
"Travel","Hotel Holiday Inn","03/04/2008","773.67","USD"
"Travel","Voyager Inn","03/08/2008","628.18","USD"
"Gas","Arco","02/04/2007","29.04","USD"
"Car","AAA","09/07/2007","54.00","USD"
"Car","Subaru","09/23/2007","1,062.50","USD"
"Car","Subaru","08/24/2007","1,062.50","USD"
"Car","Lithia","09/05/2007","950.28","USD"
,"Les Kraitzick & Associates","09/25/2007","690.40","USD"
"Travel","Hotel Carter","11/04/2007","116.00","USD"
"Travel","Hotel Carter","11/05/2007","232.00","USD"
,"Les Kraitzick & Associates","10/31/2007","690.40","USD"
"Travel","Taxi NYC","11/04/2007","76.00","USD"
"Travel","Taxi NYC","04/03/2007","4.60","USD"
"Travel","Taxi NYC","04/04/2007","4.60","USD"
"Travel","Taxi NYC","04/02/2007","4.60","USD"
"Travel","Taxi NYC","04/02/2007","4.60","USD"
"Office","Staples","04/06/2007","26.17","USD"
"Car","Subaru","07/24/2007","1,062.50","USD"
"Office","Post Office","08/20/2007","52.00","USD"
"Car","South Shore Motors","04/06/2007","29.92","USD"
"Car","Subaru","06/23/2007","1,062.50","USD"
"Food","Café Manhattan","11/05/2007","5.10","USD"
"Car","Subaru","12/24/2007","1,058.24","USD"
"Sport","SportsExchange","12/30/2007","115.60","USD"
"Travel","Hotel Holiday Inn","11/25/2007","728.86","USD"
"Sport","AlpenGlow","12/22/2007","136.74","USD"
"Car","South Shore Motors","01/24/2008","31.89","USD"
"Travel","Taxi NYC","02/11/2008","54.00","USD"
"Food","Harbour Café","02/11/2008","11.00","USD"
"Health","Incline Chiropractic","02/06/2008","35.00","USD"
"Sport","Tahoe Cross Country","02/06/2008","11.00","USD"
"Travel","Taxi NYC","11/06/2007","8.20","USD"
"Travel","Hotel Carter","11/07/2007","232.00","USD"
"Travel","Taxi NYC","11/06/2007","8.20","USD"
"Travel","Taxi NYC","11/06/2007","7.40","USD"
"Travel","Taxi NYC","11/07/2007","5.00","USD"
"Travel","Bridges & Tunnels","11/09/2007","4.50","USD"
"Car","Subaru","11/22/2007","1,062.50","USD"
"Travel","Taxi NYC","11/08/2007","7.80","USD"
"Travel","Taxi NYC","11/08/2007","60.00","USD"
